"","Metabolite","Estimate","LCI","UCI","Pval"
"1","Glol",0.450274650488314,0.334224953544294,0.566324347432334,5.56546723244951e-14
"2","M_VLDL_PL_.",0.134215656109247,0.075841068358966,0.192590243859529,6.72343508377537e-06
"3","S_HDL_C",0.129814106898571,0.071499132307291,0.188129081489852,1.30437099236076e-05
"4","S_HDL_CE",0.126025467272932,0.0678150732221803,0.184235861323684,2.23532429322064e-05
"5","Tyr",-0.119036568649041,-0.177491382009853,-0.0605817552882278,6.64763757360671e-05
"6","SFA.FA",-0.117973482736817,-0.176383327647994,-0.0595636378256402,7.62025340056972e-05
"7","Ile",-0.114030277502442,-0.172246131668103,-0.0558144233367813,0.000124670315711501
"8","Leu",-0.108850338345875,-0.167065633925131,-0.0506350427666188,0.00024950367115867
"9","Alb",0.105547417685867,0.0475034370686507,0.163591398303083,0.000367684759816898
"10","XS_VLDL_PL_.",0.105547002015354,0.0471810690629559,0.163912934967752,0.000396176855908609
"11","IDL_FC",0.102176889980253,0.044077305469186,0.160276474491321,0.000570311026188945
"12","S_VLDL_TG_.",-0.10173195922083,-0.160010935816824,-0.0434529826248359,0.000626613369779224
"13","L_LDL_FC",0.101038942888502,0.0430165592938495,0.159061326483154,0.000645921665078864
"14","M_VLDL_TG_.",-0.100442735675733,-0.158999476874643,-0.041885994476824,0.000777887076724937
"15","M_HDL_FC",0.0981786339412935,0.0401341687576292,0.156223099124958,0.000920232650213091
"16","IDL_PL",0.0975019960799144,0.0395004597139595,0.155503532445869,0.000989608622658993
"17","M_LDL_PL_.",-0.097038103939466,-0.155069928177364,-0.0390062797015678,0.00105250706235506
"18","S_VLDL_C_.",0.0972797729862164,0.0390458743969903,0.155513671575443,0.00106461080253304
"19","FAw6.FA",0.0974071779399872,0.0388559553244946,0.15595840055548,0.00111644332050153
"20","VLDL_D",-0.0971514182876988,-0.155683103357446,-0.038619733217952,0.00114616933223096
"21","L_LDL_PL",0.0944479207894067,0.0365316765943238,0.15236416498449,0.00139775514802616
"22","M_VLDL_CE_.",0.0951366988170368,0.0367006541542002,0.153572743479873,0.00142374997560766
"23","S_LDL_CE",0.0939052178268138,0.0358987353745064,0.151911700279121,0.00151476909100983
"24","S_VLDL_CE_.",0.0936304314418522,0.0356536210225864,0.151607241861118,0.00155518180146267
"25","Val",-0.0938809966986326,-0.152015111898647,-0.0357468814986185,0.00155581374367652
"26","S_LDL_C",0.0934709720073575,0.0354944300787309,0.151447513935984,0.00158411207722271
"27","M_LDL_CE",0.0931152420057051,0.0351106951580521,0.151119788853358,0.00165922074363443
"28","L_LDL_L",0.0930884617855945,0.0350862863696719,0.151090637201517,0.00166362293347331
"29","EstC",0.092735638307576,0.0348769702038587,0.150594306411293,0.00168734704742416
"30","M_LDL_C",0.0923969216273443,0.0343888569201821,0.150404986334506,0.00180321376034249
"31","L_LDL_C",0.092045646168319,0.0340962981314716,0.149994994205166,0.00185724763293
"32","LDL_C",0.092053490749328,0.0340765780686328,0.150030403430023,0.00186489654986316
"33","S_HDL_L",0.0932187563528073,0.0339958122491361,0.152441700456478,0.00204188108638553
"34","S_HDL_P",0.092290111887669,0.0335330578282294,0.151047165947109,0.00208698805365747
"35","PUFA.FA",0.0920930296570524,0.0334614309363706,0.150724628377734,0.00208701127171698
"36","S_LDL_C_.",0.0903447459586313,0.0327802715809785,0.147909220336284,0.00210425667805335
"37","XS_VLDL_PL",0.0911535485988576,0.0329173797425443,0.149389717455171,0.00216317089917674
"38","S_HDL_C_.",0.0906659031715856,0.0325111089191999,0.148820697423971,0.00225257830761773
"39","M_LDL_CE_.",0.0883342019925244,0.0314981229207047,0.145170281064344,0.00232495456991224
"40","IDL_L",0.0898903374482156,0.0319140804281121,0.147866594468319,0.00238192290972317
"41","S_HDL_CE_.",0.0898286265254401,0.0318699034799019,0.147787349570978,0.00239116329694209
"42","L_LDL_P",0.0895860285397928,0.0316223469376304,0.147549710141955,0.00245906219433346
"43","S_LDL_PL_.",-0.090146204348037,-0.148498103840735,-0.031794304855339,0.00246998027210002
"44","M_LDL_C_.",0.0882966463586828,0.0310512425603031,0.145542050157063,0.00250942528899457
"45","M_LDL_FC",0.0889457634495482,0.0309799329491169,0.14691159394998,0.00264186217763106
"46","XS_VLDL_TG_.",-0.0893179710857786,-0.147563509335999,-0.0310724328355583,0.00265855482248897
"47","M_LDL_L",0.0888772950101135,0.0308448948571589,0.146909695163068,0.00269230541523413
"48","Serum_C",0.0885221301369433,0.0306816784699671,0.14636258180392,0.00271067356559128
"49","S_LDL_TG_.",-0.089019349886955,-0.147295962293192,-0.0307427374807179,0.0027620228259724
"50","IDL_C",0.0882468070363789,0.0302976928531714,0.146195921219586,0.00284639224815825
